time_s,radius_m,pressure_Pa,damage,tension_Npm
34.38,5.3144141375924014e-5,2.187779747649336,0.9182170364622674,5.8133838104229626e-5
34.41,5.3144141375924014e-5,2.187779747649336,0.9182170364622674,5.8133838104229626e-5
34.44,5.3144141375924014e-5,2.187779747649336,0.9182170364622674,5.8133838104229626e-5
34.47,5.3144141375924014e-5,2.187779747649336,0.9182170364622674,5.8133838104229626e-5
34.5,5.3144141375924014e-5,2.187779747649336,0.9182170364622674,5.8133838104229626e-5
34.53,5.3144141375924014e-5,2.187779747649336,0.9182170364622674,5.8133838104229626e-5
34.56,5.3144141375924014e-5,2.1877797476493357,0.9182170364622673,5.8133838104229714e-5
34.59,5.3144141375924014e-5,2.1877797476493357,0.9182170364622674,5.8133838104229626e-5
34.62,5.3144141375924014e-5,2.1877797476493357,0.9182170364622674,5.8133838104229626e-5
34.65,5.3144141375924014e-5,2.1877797476493357,0.9182170364622674,5.8133838104229626e-5
34.68,5.314414137592401e-5,2.1877797476493357,0.9182170364622674,5.813383810422941e-5
34.71,5.3144141375924014e-5,2.1877797476493352,0.9182170364622673,5.8133838104229714e-5
34.74,5.3144141375924014e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
34.77,5.314414137592402e-5,2.1877797476493357,0.9182170364622675,5.8133838104229545e-5
34.8,5.3144141375924014e-5,2.1877797476493357,0.9182170364622674,5.8133838104229626e-5
34.83,5.314414137592401e-5,2.1877797476493357,0.9182170364622673,5.813383810422949e-5
34.86,5.3144141375924014e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
34.89,5.3144141375924014e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
34.92,5.3144141375924014e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
34.95,5.3144141375924014e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
34.98,5.3144141375924014e-5,2.1877797476493357,0.9182170364622673,5.8133838104229714e-5
35.01,5.314414137592401e-5,2.1877797476493357,0.9182170364622674,5.813383810422941e-5
35.04,5.314414137592402e-5,2.1877797476493352,0.9182170364622675,5.8133838104229545e-5
35.07,5.314414137592402e-5,2.1877797476493352,0.9182170364622675,5.8133838104229545e-5
35.1,5.314414137592402e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
35.13,5.3144141375924014e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
35.16,5.314414137592401e-5,2.1877797476493352,0.9182170364622674,5.813383810422941e-5
35.19,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
35.22,5.3144141375924014e-5,2.187779747649335,0.9182170364622673,5.8133838104229714e-5
35.25,5.314414137592402e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
35.28,5.3144141375924014e-5,2.1877797476493352,0.9182170364622675,5.8133838104229545e-5
35.31,5.3144141375924014e-5,2.1877797476493352,0.9182170364622675,5.8133838104229545e-5
35.34,5.3144141375924014e-5,2.1877797476493352,0.9182170364622675,5.8133838104229545e-5
35.37,5.3144141375924014e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
35.4,5.314414137592402e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
35.43,5.3144141375924014e-5,2.1877797476493352,0.9182170364622675,5.8133838104229545e-5
35.46,5.3144141375924014e-5,2.1877797476493352,0.9182170364622675,5.8133838104229545e-5
35.49,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
35.52,5.3144141375924014e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
